company_urls,company_name,founded_date,batch,team_size,status,location,slogan,company_website_url,company_types,founder_1,founder_2,founder_3
https://www.ycombinator.com/companies/digi-prex,digi-prex,Not available,Summer 2019,32,Active,"Hyderabad, India",Subscription pharmacy for patients with chronic diseases,http://www.digi-prex.com/,Not available,"Samarth Sindhi
Founder",Not available,Not available
https://www.ycombinator.com/companies/digibuild,digibuild,2018,Summer 2021,15,Active,"Miami, FL",We buy & track building materials for construction companies.,https://digibuild.com/,"ARTIFICIAL-INTELLIGENCE, SAAS, SUPPLY-CHAIN, AI, ML","Robert Salvador
Founder
- CEO of DigiBuild: The trusted Supply Chain software for the Construction industry
- Founder & Fmr. President of a commercial construction company, $500M in projects managed.
- Tech Advisor FL Governor Ron DeSantis
- Bitcoin & Crypto since 2016. Educator & researcher
- Seen on Fox News, NBC, CNBC
-Backed by: YC, Draper Associates, Valhalla Ventures, Picus Cap, Bluefield Capital, Cathexis Ventures, Harvard","Ivan Franco
Founder
VP of Eng @DigiBuild",Not available
https://www.ycombinator.com/companies/digistain,digistain,2019,Summer 2021,40,Active,"London, United Kingdom",Pioneering Breast Cancer Diagnostics for a Healthier Tomorrow,https://digistain.co.uk/,MEDICAL-DEVICES,"Hemmel Amrania
Founder
Hemmel Amrania Ph.D, CEO has previously scaled several 7 figure businesses both in therapeutics and diagnostics. As a doctoral researcher he was awarded the Outstanding Research Prize at Imperial College London. He has also won several UK business awards including the Innovation & Entrepreneurship Challenge Imperial College and the Climate KIC Competition held by the Mayor of London. For Digistain he spear-headed the research out of the lab all the way through to clinical trials.","Chris Phillips
Founder
Chris is an Imperial College Physics Professor, researching into photovoltaics, and biomedical imaging. He's spent the last few years, with Hemmel Amrania, developing the Digistain cancer diagnosis technology with Imperial medics.

He has won a number of prizes and has explained his research on invisibility caused by quantum optical effects to comedy legend Cleese on TV. He once rowed 500 miles non-stop from London to Paris. See https://en.wikipedia.org/wiki/Chris_Phillips_(professor)",Not available
https://www.ycombinator.com/companies/dili,dili,2023,Summer 2023,5,Active,New York,Automating PWA Compliance and Diligence,https://www.dili.ai/,"FINTECH, B2B, COMPLIANCE, ENERGY, AI","Anand Chaturvedi
Co-Founder, CEO
Anand Chaturvedi is the Co-Founder & CEO of Dili working in New York, NY. Anand led engagement growth at Coinbase (S12) to increase revenue by $50M, and built out KYC/AML systems. Previously, Anand has published ML research at Apple, working on the Apple Vision Pro headset & other new products. Anand is a fellow at Kleiner Perkins, and holds a Bachelor's & Master's in Machine Learning from Georgia Tech.","Brian Fernandez
Founder
Building compliance automation that keeps America’s big projects moving.",Not available
https://www.ycombinator.com/companies/diligent,diligent,2023,Summer 2023,2,Active,"Berlin, Germany",AI agents for fintech risk and compliance operations,https://godiligent.ai/,"ARTIFICIAL-INTELLIGENCE, FINTECH, COMPLIANCE, FRAUD-PREVENTION, REGTECH","Edoardo Maschio
Founder
I was an investment associate and chief of staff @ Rocket Internet early-stage team. Incubated and invested multiple ventures with the fintech team. Previously worked as Junior associate @ Boston Consulting Group.","Ahmed Gaber
Founder
I'm Co-founder and CTO at Diligent and I worked in Fintech for more than a decade.
Most recently I was VP of engineering at Billie (Europe’s largest B2B BNPL) and led multiple engineering teams on various domains: business identification, fraud, credit, and AML risk. Previously I was a technical PM and software engineer at Funding Circle.",Not available
https://www.ycombinator.com/companies/dill,dill,2022,Winter 2023,Not available,Active,Not available,Dill is a payments tool for contractors & construction suppliers,https://usedill.com/,Not available,"Catherine Jiang
Founder
Second-time founder digitizing payments for the construction industry",Not available,Not available
https://www.ycombinator.com/companies/dime,dime,2021,Summer 2021,2,Inactive,San Francisco,Instant E2E tests for your website,https://www.dime.io/,Not available,"Ben Share
Founder
Hey! I'm Ben. SF native, been in love with building great software products since I learned what a for loop was. Studied CS at Stanford, then did ads ML at Google. Excited to be at Dime, building a product that makes developer's lives easier.","Aaron Barbieri-Aghib
Founder
Hi! I'm Aaron. I grew up in San Francisco, studied math and biology at the University of Chicago, and eventually went on to work as a software engineer at a high frequency trading firm. After a super fun but somewhat emotionally dissatisfying year and a half, I started Dime with Ben! When I'm not working on Dime, you can find me at the local dog park, swimming in lake Michigan, or getting absolutely wrecked on chess.com",Not available
https://www.ycombinator.com/companies/dimely,dimely,2024,Summer 2024,2,Active,Not available,AI agents for B2B SaaS Finance Teams,https://dimely.com/,Not available,"David Pang
Founder/CEO
David is co-founder and CEO of Dimely. Before Dimely, David led Business Operations at OneSignal (YCS11) where he was heavily involved with billing. He also co-founded (with Peter) SheetWhiz, a productivity tool for Sheets used by thousands of finance startup professionals every month. He began his career as a tech private equity investor at Silver Lake. He graduated summa cum laude from the Wharton School at the University of Pennsylvania where he studied finance and accounting","Peter Sun
Founder/CTO
Peter is the co-founder and CTO of Dimely. Before Dimely, Peter was the founding Data Scientist at OneSignal (YCS11) where he built data infrastructure for billing. He co-founded (with David) SheetWhiz, a Chrome Extension that brings Excel features to Google Sheets used by thousands of finance professionals. Peter started his career at Meta where he built onboarding experiences for SMB advertisers. Peter graduated from the University of Waterloo with a degree in Electrical Engineering.",Not available
https://www.ycombinator.com/companies/dinesafe,dinesafe,2016,Summer 2018,6,Active,New York,We crowdsource food safety reports & detect and prevent outbreaks.,https://dinesafe.org/,CROWDSOURCING,"Patrick Quade
Founder/CEO
Founder of Dinesafe.org / Iwaspoisoned.com / Safelyhq",Not available,Not available
https://www.ycombinator.com/companies/diode-computers-inc,diode-computers-inc,2024,Summer 2024,3,Active,New York,Automate circuit board design using AI,https://diode.computer/,"HARDWARE, MANUFACTURING, ELECTRONICS","Davide Asnaghi
Founder
Davide is the Co-Founder and CEO @ Diode Computers, Inc.

- 6 Years of experience building hardware at big tech (Special Projects Group @ Apple working on robotics) and medtech startups (Butterfly Network, Chromatic).

- B.Sc. Engineering and Robotics, doing research in Hong Kong and Shenzhen, hardware capital of the world

- M.Eng. At Berkeley: designed open source hand prosthesis hardware","Lenny Khazan
Founder
Lenny is the Co-Founder and CTO @ Diode Computers, Inc.",Not available
https://www.ycombinator.com/companies/dioptra,dioptra,2021,Winter 2022,Not available,Active,New York,Automated contract review with AI,https://dioptra.ai/,"GENERATIVE-AI, LEGAL, LEGALTECH","Pierre Arnoux
Co-Founder and CEO
Pierre has 8+ years of hands-on experience both at IBM Watson and smaller startups. He trained and deployed the first pre-trained IBM Watson service (personality insights). Pierre worked on different types of models (NLP, Computer Vision, Automated Speech Recognition). He taught a master’s degree class on MLOps at Columbia University. Pierre has a MS in Electrical Engineering from Columbia University.","Jacques Arnoux
Founder
Jacques is a systems and software engineer with 10+ years of experience in web-scale consumer and enterprise software. He’s an ex-Yahoo and was employee number 8 and lead engineer at Netsil, an application monitoring start-up that was acquired by Nutanix. He built Nutanix’s AiOps business and cloud data-pipeline. Jacques has a Masters degree in Computer Science from the University of Pennsylvania.","Farah Gasmi
Founder"
https://www.ycombinator.com/companies/dioxus-labs,dioxus-labs,2023,Summer 2023,4,Active,Not available,"Web, Desktop, and Mobile apps with one codebase in Rust",https://dioxuslabs.com/,Not available,"Jonathan Kelley
Founder
Open source enthusiast with a background in hard engineering and physics.",Not available,Not available
https://www.ycombinator.com/companies/direct-match,direct-match,Not available,Winter 2015,11,Inactive,New York,,http://directmatchx.com/,Not available,"Galen Simmons
Founder
Founder & CEO @ Deal Meridian, a multifamily leasing operations platform. Prior to current position, Galen was a management consultant at Bain & Company and Deloitte, where he worked in technology transformation. This experience along with his prior stint as a startup founder gave him the opportunity to deeply explore a variety of software verticals, including many solutions focused on front-office operations.",Not available,Not available
https://www.ycombinator.com/companies/directed-edge,directed-edge,Not available,Summer 2009,2,Active,San Francisco,Product recommendations.,http://directededge.com/,"ARTIFICIAL-INTELLIGENCE, MACHINE-LEARNING, RECOMMENDATION-SYSTEM","Scott Wheeler
Founder",Not available,Not available
https://www.ycombinator.com/companies/directshifts,directshifts,2017,Summer 2019,72,Active,New York,Helping healthcare workers find their next career opportunity,https://directshifts.com/,"RECRUITING, HEALTHCARE","Sai Thumuluru
Founder",Not available,Not available
https://www.ycombinator.com/companies/disclo,disclo,2019,Summer 2022,10,Active,"Austin, TX",Health disclosure and accommodation management platform,http://www.disclo.com/,"HUMAN-RESOURCES, B2B, COMPLIANCE, HR-TECH","Hannah Olson
Founder
Hannah Olson is the Co-Founder and CEO of Disclo, the first software helping employees safely ask for, verify, and act on accommodation requests at work. Hannah’s own experience navigating her career while undergoing intensive treatment for Lyme disease sparked the idea for her first venture, Chronically Capable, which became one of the largest and most-used disability recruiting platforms in the world.","Kai Keane
Founder",Not available
https://www.ycombinator.com/companies/disclosures-io,disclosures-io,2016,Summer 2017,10,Acquired,San Francisco,The Complete Listing Toolkit for the New Era of Real Estate,https://disclosures.io/,"DOCUMENTS, SAAS, B2B","Adam Gothelf
Founder
Real Estate Tech Generalist","Brian Sloss
Founder/CPO
Co-founder and CPO at Disclosures.io (YC S17). Currently head of product at Lennar. Interested in the convergence of tech and real estate.","Paul Nichols
Founder/CTO"
https://www.ycombinator.com/companies/disqus,disqus,Not available,Summer 2007,11,Acquired,San Francisco,Add comments to your website.,http://disqus.com/,COMMUNITY,"Daniel Ha
Founder/CEO
Cofounder Disqus, YC07. Now investing, advising, tinkering.","Jason Yan
Founder/CTO",Not available
https://www.ycombinator.com/companies/distro,distro,2022,Summer 2024,11,Active,Palo Alto,The AI co-pilot for sales reps at industrial wholesale distributors.,https://distro.app/,"SAAS, B2B, MANUFACTURING, SUPPLY-CHAIN, AI","Jason Sullivan
Founder
Jason is the founder and CEO of Distro, the all-in-one AI co-pilot for counter staff and inside sales at industrial wholesale distributors. He is a repeat founder, having previously co-founded Vested. Before Vested, he was CTO at Elementus, Tech Lead at Coatue, and Senior Software Engineer at PeerIQ. In a prior life, Jason was a credit derivatives trader.

Jason holds an MS in Computer Science from Stanford and a BA in Cognitive Science from Yale.",Not available,Not available
https://www.ycombinator.com/companies/ditto,ditto,2019,Winter 2020,13,Active,San Francisco,Manage the words across your team’s product from design to production.,http://dittowords.com/,"DEVELOPER-TOOLS, SAAS, DESIGN-TOOLS","Jo Ma
Founder","Jessica Ouyang
Founder",Not available
https://www.ycombinator.com/companies/dittofeed,dittofeed,2022,Summer 2022,2,Active,"Los Angeles, CA",Open-source customer engagement & messaging automation,http://dittofeed.com/,"B2B, MESSAGING, OPEN-SOURCE","Chandler Craig
Founder
Startup marketer, music marketer, full-stack engineer, and open-source proponent. Cofounder of Dittofeed, making the marketing software experience better for growth engineers and marketing ops.","Maxwell Gurewitz
Founder
Max led major engineering initiatives at Braze, a leading marketing automation company.",Not available
